id,category,product,institution,start_url,task,selection_reason,status
MIN-01,ministry,Portalul Ministerului Educației și Cercetării,Ministerul Educației și Cercetării,https://www.edu.ro/,Găsește informațiile și canalul oficial pentru recunoașterea unui act de studii,minister cu servicii pentru public și volum mare de documente,frozen
MIN-02,ministry,Portalul Ministerului Sănătății,Ministerul Sănătății,https://www.ms.ro/,Găsește procedura și canalul pentru depunerea unei petiții,minister cu informații critice și documente numeroase,frozen
MIN-03,ministry,Portalul Ministerului Muncii,Ministerul Muncii Familiei Tineretului și Solidarității Sociale,https://mmuncii.gov.ro/,Găsește criteriile și traseul pentru venitul minim de incluziune,serviciu care traversează informare eligibilitate și administrația locală,frozen
MIN-04,ministry,Portalul Ministerului Finanțelor,Ministerul Finanțelor,https://mfinante.gov.ro/,Găsește formularul și instrucțiunile oficiale pentru o petiție,minister cu ecosistem mare de domenii și documente,frozen
AGN-01,agency,Portalul ANAF,Agenția Națională de Administrare Fiscală,https://www.anaf.ro/,Găsește modalitatea de obținere a certificatului de atestare fiscală pentru o persoană fizică,serviciu național cu frecvență și impact ridicate,frozen
AGN-02,agency,Portalul CNAS,Casa Națională de Asigurări de Sănătate,https://cnas.ro/,Verifică dacă ești asigurat și găsește pașii dacă rezultatul este incorect,serviciu de verificare cu impact direct asupra accesului la sănătate,frozen
AGN-03,agency,Portalul ANPC,Autoritatea Națională pentru Protecția Consumatorilor,https://anpc.ro/,Găsește și începe depunerea unei reclamații online,traseu național orientat direct către cetățeni,frozen
AGN-04,agency,Portalul ADR,Autoritatea pentru Digitalizarea României,https://www.adr.gov.ro/,Găsește declarația de accesibilitate și canalul pentru raportarea unei probleme,autoritate responsabilă de transformare digitală și monitorizarea accesibilității,frozen
TRX-01,transactional,Ghișeul.ro,Autoritatea pentru Digitalizarea României,https://www.ghiseul.ro/,Înțelege dacă poți plăti un impozit fără cont și începe traseul,serviciu tranzacțional național cu trafic mare,frozen
TRX-02,transactional,HUB servicii MAI,Ministerul Afacerilor Interne,https://hub.mai.gov.ro/,Găsește și începe programarea pentru eliberarea unui document disponibil în județul tău,portal multi-serviciu cu autentificare și programări,frozen
TRX-03,transactional,Spațiul Privat Virtual,Agenția Națională de Administrare Fiscală,https://www.anaf.ro/anaf/internet/ANAF/servicii_online/registru_SPV,Înțelege cum te înrolezi ca persoană fizică și ce metodă de identificare poți folosi,flux critic cu autentificare și treceri între pagini,frozen
TRX-04,transactional,Portal servicii ONRC,Oficiul Național al Registrului Comerțului,https://portal.onrc.ro/,Găsește și începe solicitarea online a unui certificat constatator,serviciu tranzacțional pentru persoane și companii,frozen
MUN-01,large-municipality,Servicii electronice Cluj-Napoca,Primăria municipiului Cluj-Napoca,https://primariaclujnapoca.ro/servicii-online/,Găsește și începe depunerea unei cereri online pentru un act administrativ,municipiu mare și ecosistem bogat de servicii,frozen
MUN-02,large-municipality,Portalul Primăriei Brașov,Primăria municipiului Brașov,https://www.brasovcity.ro/,Găsește și începe o programare pentru actul de identitate,municipiu mare cu programări și servicii pe domenii multiple,frozen
MUN-03,large-municipality,Portalul Primăriei Oradea,Primăria municipiului Oradea,https://oradea.ro/,Găsește actele necesare pentru declararea fiscală a unui autoturism și canalul de depunere,municipiu mare cu conținut procedural și formulare,frozen
MUN-04,large-municipality,Portalul Primăriei Constanța,Primăria municipiului Constanța,https://primaria-constanta.ro/,Găsește serviciul online pentru o petiție și confirmă instituția care o primește,municipiu mare cu instrumente de accesibilitate și portal de servicii,frozen
LOC-01,small-locality,Servicii online Reghin,Primăria municipiului Reghin,https://www.primariareghin.ro/,Găsește și începe o petiție online,localitate medie cu portal separat și servicii online,frozen
LOC-02,small-locality,Formulare electronice Codlea,Primăria municipiului Codlea,https://www.municipiulcodlea.ro/,Găsește un formular care poate fi completat și trimis integral online,localitate mică cu formulare electronice publice,frozen
LOC-03,small-locality,Portalul comunei Ciugud,Primăria comunei Ciugud,https://www.primariaciugud.ro/,Găsește modalitatea online de plată a taxelor locale,comună cunoscută pentru inițiative digitale fără a presupune calitatea traseului,frozen
LOC-04,small-locality,Portalul comunei Florești,Primăria comunei Florești Cluj,https://floresticluj.ro/,Găsește și începe depunerea unei sesizări sau petiții online,comună mare periurbană cu volum ridicat de interacțiuni,frozen
EDU-01,education,Portalul UBB,Universitatea Babeș-Bolyai,https://www.ubbcluj.ro/,Găsește procedura oficială pentru eliberarea unui duplicat al unui act de studii,instituție publică de educație cu structură distribuită,frozen
EDU-02,education,Portalul UVT,Universitatea de Vest din Timișoara,https://uvt.ro/,Găsește traseul oficial pentru înscrierea la admitere și identifică trecerea către platforma tranzacțională,instituție publică de educație cu servicii digitale pentru candidați,frozen
HLT-01,health,Programări online SCJU Cluj,Spitalul Clinic Județean de Urgență Cluj,https://scjucluj.ro/index.php/informatii-pacienti/programari-online,Fă o programare în ambulatoriu și identifică alternativele dacă nu poți folosi formularul,serviciu medical public cu traseu online direct,frozen
HLT-02,health,Programări online SJU Bistrița,Spitalul Clinic Județean de Urgență Bistrița,https://sjub.ro/programari-online-policlinica/,Fă o programare în policlinică și află cum o poți anula,serviciu medical public cu programare anulare și notificare,frozen
